SET
 trade_id | market_symbol |          price           |       quantity       |       quote_amount       |      buyer_email      |     seller_email      | buy_order_id | sell_order_id |          executed_at          
----------+---------------+--------------------------+----------------------+--------------------------+-----------------------+-----------------------+--------------+---------------+-------------------------------
   324350 | BTC/USDT      | 49305.885477580000000000 | 0.289447960000000000 | 14271.487967479156736800 | trader00024@sim.local | trader00333@sim.local |       444404 |        444506 | 2026-06-20 15:29:29.473864+00
   324349 | BTC/USDT      | 49318.088768760000000000 | 0.041199340000000000 |  2031.872707334324618400 | trader00181@sim.local | trader00333@sim.local |       444471 |        444506 | 2026-06-20 15:29:29.473864+00
   324348 | BTC/USDT      | 49340.645658120000000000 | 0.197183840000000000 |  9729.177978947428780800 | trader00429@sim.local | trader00080@sim.local |       444504 |        444298 | 2026-06-20 15:29:29.473864+00
   324347 | BTC/USDT      | 49340.315788190000000000 | 0.552817230000000000 | 27276.176701352462513700 | trader00429@sim.local | trader00469@sim.local |       444504 |        444059 | 2026-06-20 15:29:29.473864+00
   324346 | BTC/USDT      | 49335.192736700000000000 | 0.298829390000000000 | 14742.805551040491613000 | trader00429@sim.local | trader00426@sim.local |       444504 |        442192 | 2026-06-20 15:29:29.473864+00
   324345 | ETH/USDT      |  2958.998314300000000000 | 0.090819420000000000 |   268.734510685703706000 | trader00460@sim.local | trader00023@sim.local |       444441 |        444492 | 2026-06-20 15:29:29.473864+00
   324344 | ETH/USDT      |  2959.061375810000000000 | 0.019902550000000000 |    58.892866985127315500 | trader00409@sim.local | trader00023@sim.local |       444238 |        444492 | 2026-06-20 15:29:29.473864+00
   324343 | ETH/USDT      |  2959.061375810000000000 | 0.112769690000000000 |   333.692434041067198900 | trader00409@sim.local | trader00243@sim.local |       444238 |        444489 | 2026-06-20 15:29:29.473864+00
   324342 | ETH/USDT      |  2959.205222540000000000 | 0.043647120000000000 |   129.160785452830084800 | trader00334@sim.local | trader00243@sim.local |       444301 |        444489 | 2026-06-20 15:29:29.473864+00
   324341 | SOL/USDT      |   147.981210550000000000 | 0.189382890000000000 |    28.025109319657489500 | trader00048@sim.local | trader00293@sim.local |       444457 |        444070 | 2026-06-20 15:29:29.473864+00
   324340 | ETH/USDT      |  2959.796468540000000000 | 0.007639800000000000 |    22.612253060351892000 | trader00143@sim.local | trader00406@sim.local |       444455 |        442118 | 2026-06-20 15:29:29.473864+00
   324339 | ETH/USDT      |  2959.787374220000000000 | 0.125957940000000000 |   372.808720494760306800 | trader00143@sim.local | trader00450@sim.local |       444455 |        444448 | 2026-06-20 15:29:29.473864+00
   324338 | BTC/USDT      | 49305.885477580000000000 | 0.007171360000000000 |   353.590254878498108800 | trader00024@sim.local | trader00143@sim.local |       444404 |        444446 | 2026-06-20 15:29:29.473864+00
   324337 | BTC/USDT      | 49312.232496740000000000 | 0.047464410000000000 |  2340.576021240591023400 | trader00120@sim.local | trader00143@sim.local |       444439 |        444446 | 2026-06-20 15:29:29.473864+00
   324336 | ETH/USDT      |  2959.796468540000000000 | 0.263263870000000000 |   779.207472720173649800 | trader00281@sim.local | trader00406@sim.local |       444416 |        442118 | 2026-06-20 15:29:29.473864+00
   324335 | ETH/USDT      |  2959.641640830000000000 | 0.228064230000000000 |   674.988391891830510900 | trader00281@sim.local | trader00131@sim.local |       444416 |        442350 | 2026-06-20 15:29:29.473864+00
   324334 | SOL/USDT      |   147.981210550000000000 | 0.041261890000000000 |     6.105984431780939500 | trader00446@sim.local | trader00293@sim.local |       444396 |        444070 | 2026-06-20 15:29:29.473864+00
   324333 | SOL/USDT      |   147.978725940000000000 | 0.058218270000000000 |     8.615065421030923800 | trader00446@sim.local | trader00416@sim.local |       444396 |        443914 | 2026-06-20 15:29:29.473864+00
   324332 | SOL/USDT      |   147.956141800000000000 | 0.137392010000000000 |    20.327991713747018000 | trader00446@sim.local | trader00060@sim.local |       444396 |        444378 | 2026-06-20 15:29:29.473864+00
   324331 | BTC/USDT      | 49335.192736700000000000 | 0.028907480000000000 |  1426.156097332300516000 | trader00118@sim.local | trader00426@sim.local |       444380 |        442192 | 2026-06-20 15:29:29.473864+00
(20 rows)

